PORTFOLIOID,ASSETID,TRANSACTIONID,EXECUTIONDATE,TRANSACTIONTYPE,PRICE,QUANTITY,BROKERNAME,CURRENCY
17,FI0009000681,219,2015-02-20,Buy,100,310,Jim Broker,EUR
17,FI0009000681,218,2015-02-19,Buy,100,199,John Broker,EUR
17,FI0009000681,217,2015-02-18,Sell,100,38,Joan Broker,EUR
17,FI0009000681,216,2015-02-17,Sell,100,117,Janet Broker,EUR
17,FI0009000681,215,2015-02-16,Sell,100,119,Amber Broker,EUR
17,FI0009000681,214,2015-02-15,Buy,100,482,Jim Broker,EUR
17,FI0009000681,213,2015-02-14,Buy,100,340,Janet Broker,EUR
17,FI0009000681,212,2015-02-13,Buy,100,401,Joan Broker,EUR
14,FI0009000681,211,2015-02-12,Sell,100,484,John Broker,EUR
14,FI0009000681,210,2015-02-11,Sell,100,84,Joan Broker,EUR
14,FI0009000681,209,2015-02-10,Sell,100,217,John Broker,EUR
14,FI0009000681,208,2015-02-09,Sell,100,80,John Broker,EUR
14,FI0009000681,207,2015-02-08,Sell,100,316,John Broker,EUR
14,FI0009000681,206,2015-02-07,CorporateAction,100,332,Joan Broker,EUR
14,FI0009000681,205,2015-02-06,Expiry,100,467,Janet Broker,EUR
14,FI0009000681,204,2015-02-05,Exercise,100,368,Joan Broker,EUR
14,FI0009000681,203,2015-02-04,Adjustment,100,270,Joan Broker,EUR
14,FI0009000681,202,2015-02-03,Maturity,100,48,Janet Broker,EUR
14,FI0009000681,201,2015-02-02,TakeOn,100,270,Joan Broker,EUR
14,FI0009000681,200,2015-02-01,Withdrawal,100,446,Janet Broker,EUR
